userId,movieId,rating,timestamp
1,1,4.0,964982703
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,101,5.0,964980868
1,151,5.0,964984041
1,163,5.0,964983650
1,223,3.0,964980985
1,231,5.0,964981179
1,235,4.0,964980908
1,260,5.0,964981680
1,296,3.0,964982967
1,367,4.0,964981710
1,441,4.0,964980868
1,457,5.0,964981909
1,500,3.0,964981208
1,527,5.0,964984002
1,553,5.0,964984153
1,590,4.0,964982546
1,592,4.0,964982271
1,593,4.0,964983793
1,596,5.0,964982838
1,804,4.0,964980499
1,919,5.0,964982475
1,1042,4.0,964981179
1,1060,4.0,964980924
1,1073,5.0,964981680
1,1090,4.0,964984018
1,1097,5.0,964981680
1,1196,5.0,964981827
1,1197,5.0,964981872
1,1198,5.0,964981827
1,1208,4.0,964983250
1,1210,5.0,964980499
1,1213,5.0,964982951
1,1214,4.0,964981855
1,1219,2.0,964983393
1,1220,5.0,964981909
1,1224,5.0,964984018
1,1240,5.0,964983723
1,1258,3.0,964983414
1,1265,4.0,964983599
1,1270,5.0,964983705
1,1275,5.0,964982290
1,1278,5.0,964983414
1,1282,5.0,964982703
1,1408,3.0,964982310
1,1500,4.0,964980985
1,1517,5.0,964981107
1,1617,5.0,964982951
1,1620,4.0,964983056
1,1644,3.0,964983536
1,1732,5.0,964981125
1,1804,5.0,964983034
1,1805,4.0,964983056
1,1920,4.0,964981780
1,2012,4.0,964984176
1,2093,3.0,964981710
1,2115,5.0,964982529
1,2161,5.0,964981710
1,2174,4.0,964981680
1,2268,4.0,964982989
1,2291,5.0,964983664
1,2329,5.0,964983263
1,2338,2.0,964983546
1,2387,5.0,964983123
1,2395,5.0,964981093
1,2414,3.0,964982513
1,2450,4.0,964982620
1,2459,5.0,964983414
1,2470,5.0,964982588
1,2492,4.0,965719662
1,2502,5.0,964981278
1,2528,3.0,964982328
1,2580,5.0,964983000
1,2616,4.0,964983080
1,2700,5.0,964980985
1,2797,4.0,964981710
1,2858,5.0,964980868
1,2947,5.0,964982176
1,2948,5.0,964982191
1,2991,5.0,964982271
1,2993,5.0,964982242
1,2997,4.0,964980896
1,3033,5.0,964983762
1,3052,5.0,964981208
1,3062,4.0,964981872
1,3176,1.0,964983504
